Date,EntryTime,ExitTime,Direction,Strike,Entry,SL,Target1,Target2,Status,T1Hit,T1HitTime,PnL,PnLPct,Strength,Concepts,Expiry
2026-03-24,09:24,09:37,CE,22700,178.1,156.73,199.47,220.84,SL,Y,09:27,-21.37,-12,MODERATE,OrdBlock+SMTrap,2026-03-24
2026-03-24,09:39,09:43,CE,22650,171.85,151.23,192.47,213.09,SL,N,,-20.62,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-24,09:55,10:01,CE,22650,164.7,144.94,184.46,204.23,SL,N,,-19.76,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-24,10:06,10:16,PE,22800,155.9,137.19,174.61,193.32,SL,Y,10:09,-18.71,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-24,10:19,10:23,PE,22850,165.7,145.82,185.58,205.47,SL,N,,-19.88,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-24,10:24,10:26,CE,22650,164.55,144.8,184.3,204.04,SL,N,,-19.75,-12,GOOD,FVG+OrdBlock,2026-03-24
2026-03-24,10:48,10:49,CE,22600,161.2,141.86,180.54,199.89,SL,N,,-19.34,-12,GOOD,OrdBlock+Breaker,2026-03-24
2026-03-24,11:04,11:11,PE,22800,163.35,143.75,182.95,202.55,SL,N,,-19.6,-12,MODERATE,OrdBlock+Breaker,2026-03-24
2026-03-24,11:21,11:34,PE,22850,165.65,145.77,185.53,205.41,SL,Y,11:25,-19.88,-12,GOOD,LiqGrab+OrdBlock+Breaker,2026-03-24
2026-03-24,11:57,12:02,CE,22700,150.05,132.04,168.06,186.06,SL,N,,-18.01,-12,GOOD,FVG+OrdBlock,2026-03-24
